Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A223AUD6	unreviewed	Mogibacterium pumilum	Ureidoglycolate dehydrogenase		
A0A226X5Y3	unreviewed	Caballeronia sordidicola (Burkholderia sordidicola)	Ureidoglycolate dehydrogenase		
A0A238V8V0	unreviewed	Blastococcus mobilis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A238X946	unreviewed	Blastococcus mobilis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A238XEQ6	unreviewed	Actinomadura mexicana	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A238Y0V0	unreviewed	Actinoplanes regularis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239HJN9	unreviewed	Geodermatophilus pulveris	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239HWE6	unreviewed	Tropicimonas sediminicola	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239HZC3	unreviewed	Tropicimonas sediminicola	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239I757	unreviewed	Geodermatophilus pulveris	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239INA0	unreviewed	Pseudomonas japonica	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239JUI4	unreviewed	Noviherbaspirillum humi	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239K3F5	unreviewed	Ekhidna lutea	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239MYW5	unreviewed	Rhodococcoides kyotonense	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239Q3C1	unreviewed	Paracoccus seriniphilus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A239SE33	unreviewed	Pandoraea sputorum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239Y9Q0	unreviewed	Mammaliicoccus stepanovicii	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239YBA4	unreviewed	Mammaliicoccus stepanovicii	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A239ZTD8	unreviewed	Veillonella rodentium	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A242A3P0	unreviewed	Candidatus Enterococcus testudinis	Ureidoglycolate dehydrogenase		
A0A242C6A3	unreviewed	Candidatus Enterococcus mansonii	Ureidoglycolate dehydrogenase		
A0A242C6I3	unreviewed	Candidatus Enterococcus mansonii	Ureidoglycolate dehydrogenase		
A0A254PUJ2	unreviewed	Polynucleobacter campilacus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A255I4V1	unreviewed	Lachnotalea glycerini	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A285B4V0	unreviewed	Klebsiella grimontii	Malate/lactate/ureidoglycolate dehydrogenase		
A0A285CQ24	unreviewed	Bacillus oleivorans	Ureidoglycolate dehydrogenase (NAD+)		
A0A285D6U3	unreviewed	Bacillus oleivorans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A285PG57	unreviewed	Cohaesibacter gelatinilyticus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A285SVL8	unreviewed	Rhodobacter maris	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A285UAN1	unreviewed	Salinicoccus kekensis	Ureidoglycolate dehydrogenase (NAD+)		
A0A285UKW6	unreviewed	Ureibacillus acetophenoni	Ureidoglycolate dehydrogenase (NAD+)		
A0A285UQ90	unreviewed	Rhizobium subbaraonis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A285UQH5	unreviewed	Ureibacillus acetophenoni	Ureidoglycolate dehydrogenase (NAD+)		
A0A285UXG3	unreviewed	Rhizobium subbaraonis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A285UYX7	unreviewed	Rhizobium subbaraonis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A286DXL7	unreviewed	Streptomyces zhaozhouensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A286GV27	unreviewed	Blastococcus haudaquaticus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A286GWB1	unreviewed	Blastococcus haudaquaticus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A291M489	unreviewed	Pacificitalea manganoxidans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2A7UPN3	unreviewed	Comamonas terrigena	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2A9DV83	unreviewed	Paramicrobacterium agarici	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2A9FC08	unreviewed	Amycolatopsis sulphurea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2B8BGQ0	unreviewed	Azospirillum palustre	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2B8BH77	unreviewed	Azospirillum palustre	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2C6DDR0	unreviewed	Budvicia aquatica	Ureidoglycolate dehydrogenase		
A0A2C6DNZ2	unreviewed	Budvicia aquatica	Ureidoglycolate dehydrogenase		
A0A2C7AAF3	unreviewed	Teichococcus rhizosphaerae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2C9CQ38	unreviewed	Pontivivens marinum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A2C9CTT1	unreviewed	Pontivivens marinum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A2C9XY12	unreviewed	Gilliamella apicola	Ureidoglycolate dehydrogenase		
A0A2D0KRR3	unreviewed	Xenorhabdus stockiae	Ureidoglycolate dehydrogenase		
A0A2H1L1N7	unreviewed	Brevibacterium jeotgali	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A2H9VTR7	unreviewed	Mucilaginibacter auburnensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2I5T785	unreviewed	Prodigiosinella confusarubida (Serratia sp. (strain ATCC 39006))	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2K1FRP2	unreviewed	Azospirillum argentinense	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2K3YSI2	unreviewed	Staphylococcus rostri	Ureidoglycolate dehydrogenase		
A0A2K3YTC4	unreviewed	Staphylococcus rostri	Ureidoglycolate dehydrogenase		
A0A2K8QKE8	unreviewed	Dickeya fangzhongdai	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2K8QNJ1	unreviewed	Dickeya fangzhongdai	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2M8RGL2	unreviewed	Bradyrhizobium forestalis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2M8VIT7	unreviewed	Polynucleobacter brandtiae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2M9B9T9	unreviewed	Hymenobacter chitinivorans DSM 11115	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2M9BB93	unreviewed	Compostimonas suwonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2M9G6Y5	unreviewed	Minwuia thermotolerans	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2M9WAY1	unreviewed	Pantoea rodasii	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N3LP91	unreviewed	Heyndrickxia camelliae	Ureidoglycolate dehydrogenase		
A0A2N3PZ75	unreviewed	Telmatospirillum siberiense	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N3PZC2	unreviewed	Telmatospirillum siberiense	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N3WFS7	unreviewed	Amycolatopsis echigonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2N3Y649	unreviewed	Saccharopolyspora spinosa	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2N4U6M4	unreviewed	Pollutimonas subterranea	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N4UEB1	unreviewed	Pollutimonas nitritireducens	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N5C218	unreviewed	Cupriavidus pauculus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2N5GK72	unreviewed	Bacillus canaveralius	Ureidoglycolate dehydrogenase		
A0A2N5HBZ9	unreviewed	Neobacillus cucumis	Ureidoglycolate dehydrogenase		
A0A2P5GKQ1	unreviewed	Superficieibacter electus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2P5GSQ7	unreviewed	Superficieibacter electus	Ureidoglycolate dehydrogenase		
A0A2P8GCF6	unreviewed	Planomicrobium soli	Ureidoglycolate dehydrogenase (NAD+)		
A0A2R4VR74	unreviewed	Azospirillum humicireducens	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2R4W1S5	unreviewed	Thermodesulfobium acidiphilum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A2R4WP42	unreviewed	Methylobacterium currus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2R4XNS9	unreviewed	Orrella marina	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2R5EQI4	unreviewed	Paenibacillus agaridevorans	Ureidoglycolate dehydrogenase		
A0A2S0L3X2	unreviewed	Mogibacterium diversum	Ureidoglycolate dehydrogenase		
A0A2S0NA30	unreviewed	Phreatobacter cathodiphilus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2S2CKL5	unreviewed	Azospirillum thermophilum	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2S3V0T3	unreviewed	Roseibium marinum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2S5G857	unreviewed	Jeotgalibacillus proteolyticus	Ureidoglycolate dehydrogenase		
A0A2S6GFY9	unreviewed	Actinokineospora auranticolor	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2S6HZJ9	unreviewed	Lacrimispora xylanisolvens	Ureidoglycolate dehydrogenase (NAD+)		
A0A2S6MZW1	unreviewed	Rhodopila globiformis (Rhodopseudomonas globiformis)	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2S6NIQ4	unreviewed	Rhodopila globiformis (Rhodopseudomonas globiformis)	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2S9EYV9	unreviewed	Pseudomonas poae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2S9IHJ6	unreviewed	Pantoea coffeiphila	Ureidoglycolate dehydrogenase		
A0A2S9IHZ4	unreviewed	Pantoea coffeiphila	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0JZJ1	unreviewed	Actinoplanes italicus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0QEN0	unreviewed	Allonocardiopsis opalescens	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0QEU5	unreviewed	Allonocardiopsis opalescens	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0TQ58	unreviewed	Geodermatophilus tzadiensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0V546	unreviewed	Vreelandella songnenensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0W5H5	unreviewed	Alkalibacterium olivapovliticus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0WL92	unreviewed	Donghicola tyrosinivorans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0WNZ1	unreviewed	Mongoliibacter ruber	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0WQB1	unreviewed	Mongoliibacter ruber	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T0YAM1	unreviewed	Nesterenkonia sandarakina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T1HWN2	unreviewed	Alsobacter soli	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2T3IQB9	unreviewed	Photobacterium lutimaris	Ureidoglycolate dehydrogenase		
A0A2T3NU70	unreviewed	Photobacterium sanctipauli	Ureidoglycolate dehydrogenase		
A0A2T4ZI82	unreviewed	Phreatobacter oligotrophus	Ureidoglycolate dehydrogenase (NAD+)		
A0A2T5AXL7	unreviewed	Mycoplana dimorpha	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5B355	unreviewed	Mycoplana dimorpha	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5BDT6	unreviewed	Mycoplana dimorpha	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5GNH6	unreviewed	Sphingomonas aurantiaca	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5ICP3	unreviewed	Trichococcus patagoniensis	Ureidoglycolate dehydrogenase (NAD+)		
A0A2T5IEG0	unreviewed	Trichococcus patagoniensis	Ureidoglycolate dehydrogenase (NAD+)		
A0A2T5JEN3	unreviewed	Mucilaginibacter yixingensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5KA36	unreviewed	Cereibacter azotoformans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5VH43	unreviewed	Breoghania corrubedonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T5VH79	unreviewed	Breoghania corrubedonensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T6B034	unreviewed	Gemmobacter caeni	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2T7U8K1	unreviewed	Limnohabitans planktonicus II-D5	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1TJW8	unreviewed	Brenneria corticis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1TPQ5	unreviewed	Brenneria roseae subsp. americana	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1TVS8	unreviewed	Brenneria roseae subsp. americana	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1TYJ1	unreviewed	Brenneria corticis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1UAT8	unreviewed	Brenneria nigrifluens DSM 30175 = ATCC 13028	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1UR08	unreviewed	Brenneria nigrifluens DSM 30175 = ATCC 13028	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U1V1G0	unreviewed	Teichococcus aestuarii	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U2AFM1	unreviewed	Ignatzschineria ureiclastica	Ureidoglycolate dehydrogenase		
A0A2U3Q5T6	unreviewed	Bradyrhizobium vignae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U3THP3	unreviewed	Microvirgula aerodenitrificans	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U8DX64	unreviewed	Clostridium drakei	Ureidoglycolate dehydrogenase		
A0A2U8P165	unreviewed	Bradyrhizobium ottawaense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2U8PRQ5	unreviewed	Bradyrhizobium amphicarpaeae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U8WN33	unreviewed	Methylobacterium terrae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U9SD59	unreviewed	Azospirillum ramasamyi	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2U9SDP7	unreviewed	Azospirillum ramasamyi	Malate/lactate/ureidoglycolate dehydrogenase		
A0A2V3TTX3	unreviewed	Chelatococcus asaccharovorans	Ureidoglycolate dehydrogenase (NAD+)		
A0A2V3U482	unreviewed	Chelatococcus asaccharovorans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2V3U8A2	unreviewed	Chelatococcus asaccharovorans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2V4E2T7	unreviewed	Gilliamella apicola	Ureidoglycolate dehydrogenase		
A0A2V4E8Y7	unreviewed	Gilliamella apis	Ureidoglycolate dehydrogenase		
A0A2W1NNT0	unreviewed	Paenibacillus xerothermodurans	Ureidoglycolate dehydrogenase		
A0A2W3YRB8	unreviewed	Enterococcus plantarum	Ureidoglycolate dehydrogenase		
A0A2W4B3N5	unreviewed	Enterococcus plantarum	Ureidoglycolate dehydrogenase		
A0A2W7IM09	unreviewed	Humitalea rosea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2W7MYK8	unreviewed	Palleronia aestuarii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2W7NF12	unreviewed	Palleronia aestuarii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2W7NFB4	unreviewed	Breznakibacter xylanolyticus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2W7RCD8	unreviewed	Algoriphagus chordae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2W7TJS0	unreviewed	Hydrotalea sandarakina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2X4Y2G2	unreviewed	Leminorella richardii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A2Y9AP74	unreviewed	Jannaschia seohaensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2Y9BFQ2	unreviewed	Faecalicatena orotica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2Y9C9W1	unreviewed	Faecalicatena orotica	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A2Z6IC65	unreviewed	Sutterella megalosphaeroides	Malate/lactate/ureidoglycolate dehydrogenase		
A0A315E284	unreviewed	Limnohabitans parvus II-B4	Malate/lactate/ureidoglycolate dehydrogenase		
A0A315XLT4	unreviewed	Methanobrevibacter thaueri	Ureidoglycolate dehydrogenase (EC 1.1.1.350)	1.1.1.350	
A0A316AG25	unreviewed	Faecalicatena contorta	Ureidoglycolate dehydrogenase (NAD+)		
A0A316AK93	unreviewed	Dyadobacter jejuensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316C1N5	unreviewed	Pseudaminobacter salicylatoxidans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316C6D1	unreviewed	Pseudaminobacter salicylatoxidans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316EGL7	unreviewed	Arcicella aurantiaca	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316G4G5	unreviewed	Silicimonas algicola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316G5C2	unreviewed	Silicimonas algicola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316GFJ8	unreviewed	Roseicyclus mahoneyensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316GH05	unreviewed	Silicimonas algicola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316H1K5	unreviewed	Mucilaginibacter oryzae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A316H4L0	unreviewed	Roseicyclus mahoneyensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A317FGK9	unreviewed	Falsiroseomonas bella	Malate/lactate/ureidoglycolate dehydrogenase		
A0A317MYK6	unreviewed	Plasticicumulans acidivorans	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A317PD44	unreviewed	Hoeflea marina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A317Q7L4	unreviewed	Pseudidiomarina maritima	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A317R8G6	unreviewed	Melaminivora alkalimesophila	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A318STS2	unreviewed	Paramesorhizobium leguminum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A318SV74	unreviewed	Pseudoroseicyclus aestuarii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A318USC3	unreviewed	Pedobacter nutrimenti	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A318UY78	unreviewed	Marinomonas alcarazii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A327M9J2	unreviewed	Roseicella frigidaeris	Malate/lactate/ureidoglycolate dehydrogenase		
A0A327P6B7	unreviewed	Algoriphagus yeomjeoni	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A327WIG6	unreviewed	Chitinophaga dinghuensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A327X3Z3	unreviewed	Larkinella arboricola	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A327YNH1	unreviewed	Paranoxybacillus vitaminiphilus	Ureidoglycolate dehydrogenase (NAD+)		
A0A327ZJL0	unreviewed	Actinoplanes lutulentus	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A345UMI2	unreviewed	Cyclonatronum proteinivorum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A347WIY7	unreviewed	Suicoccus acidiformans	Ureidoglycolate dehydrogenase		
A0A347ZTJ1	unreviewed	Pelolinea submarina	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A364JS62	unreviewed	Falsochrobactrum ovis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A364JWN6	unreviewed	Falsochrobactrum ovis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A364JXG4	unreviewed	Falsochrobactrum ovis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A365K521	unreviewed	Planococcus maitriensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A365QY56	unreviewed	Burkholderia reimsis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A366D8E6	unreviewed	Marinomonas aquiplantarum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A366E5D2	unreviewed	Pseudochrobactrum asaccharolyticum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A366JH11	unreviewed	Marinomonas rhizomae	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A366K0D0	unreviewed	Cytobacillus firmus (Bacillus firmus)	Ureidoglycolate dehydrogenase (NAD+)		
A0A368UWD6	unreviewed	Pseudidiomarina tainanensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A368YE82	unreviewed	Pseudorhodoferax soli	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A368YHI1	unreviewed	Paracoccus lutimaris	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A368YNT5	unreviewed	Phyllobacterium bourgognense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A368Z5X0	unreviewed	Phyllobacterium bourgognense	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A369B5W4	unreviewed	Vagococcus fluvialis	Ureidoglycolate dehydrogenase		
A0A369QIJ6	unreviewed	Adhaeribacter pallidiroseus	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	
A0A370G0B6	unreviewed	Gluconacetobacter liquefaciens (Acetobacter liquefaciens)	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A370HLX5	unreviewed	Microvirga subterranea	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A370L1C3	unreviewed	Allobosea caraganae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A370P070	unreviewed	Cupriavidus lacunae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A370R426	unreviewed	Enterobacillus tribolii	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A370V403	unreviewed	Escherichia marmotae	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A370VCI0	unreviewed	Escherichia marmotae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A375G2H3	unreviewed	Cupriavidus oxalaticus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A376H998	unreviewed	Enterococcus gallinarum	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A378TMP8	unreviewed	Mycolicibacterium tokaiense	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380BVP0	unreviewed	Staphylococcus arlettae	Ureidoglycolate dehydrogenase		
A0A380BVW1	unreviewed	Staphylococcus arlettae	Ureidoglycolate dehydrogenase		
A0A380G4T4	unreviewed	Staphylococcus intermedius NCTC 11048	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380G5I3	unreviewed	Staphylococcus intermedius NCTC 11048	Putative ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A380NLL1	unreviewed	Veillonella criceti	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A396S563	unreviewed	Ureibacillus yapensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A396S589	unreviewed	Ureibacillus yapensis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A397NNA3	unreviewed	Hephaestia caeni	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A397QSP6	unreviewed	Anaeroplasma bactoclasticum	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A398B0Y5	unreviewed	Peribacillus asahii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3A3FGK5	unreviewed	Noviherbaspirillum saxi	Malate/lactate/ureidoglycolate dehydrogenase		
A0A3A9JVU0	unreviewed	Teichococcus wenyumeiae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A3B6VMK3	unreviewed	Brachyspira pilosicoli P43/6/78	Ureidoglycolate dehydrogenase		
A0A3D8GJK7	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D8GUU7	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D8GUX9	unreviewed	Neobacillus piezotolerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3D9DWA7	unreviewed	Kushneria indalinina DSM 14324	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3D9INL4	unreviewed	Cohnella lupini	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3E0B1L6	unreviewed	Jeotgalicoccus halotolerans	Ureidoglycolate dehydrogenase (NAD+)		
A0A3E0B1N2	unreviewed	Jeotgalicoccus halotolerans	Ureidoglycolate dehydrogenase (NAD+)		
A0A3E0D779	unreviewed	Marinomonas pollencensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3E0DM26	unreviewed	Marinomonas pollencensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3E3K077	unreviewed	Sellimonas intestinalis	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3E4MHZ5	unreviewed	Dorea formicigenerans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3G8H1P9	unreviewed	Cupriavidus pauculus	Malate/lactate/ureidoglycolate dehydrogenase		
A0A3M8DMW1	unreviewed	Brevibacillus nitrificans	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A3N1CP22	unreviewed	Actinocorallia herbida	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3N1CTX6	unreviewed	Actinocorallia herbida	Ureidoglycolate dehydrogenase (NAD+)		
A0A3N1GYV1	unreviewed	Saccharothrix texasensis	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3N1KRX4	unreviewed	Allostella humosa	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
A0A3N1KZ02	unreviewed	Allostella humosa	LDH2 family malate/lactate/ureidoglycolate dehydrogenase		
