Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
A0A0K6IKV4	unreviewed	Marinomonas fungiae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0K8P4D9	unreviewed	Piscinibacter sakaiensis (Ideonella sakaiensis)	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0L0MIJ3	unreviewed	Candidatus Burkholderia verschuerenii	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0M2SQU8	unreviewed	Salinicoccus sediminis	Ureidoglycolate dehydrogenase		
A0A0M4FKB3	unreviewed	Bacillus gobiensis	Ureidoglycolate dehydrogenase		
A0A0N1FKE1	unreviewed	Allobosea vaviloviae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A0P0EM20	unreviewed	Azospirillum brasilense	Malate/lactate/ureidoglycolate dehydrogenase		
A0A0P8A033	unreviewed	Saliniramus fredricksonii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0Q3T5Q7	unreviewed	Cytobacillus solani	Ureidoglycolate dehydrogenase		
A0A0Q3TFD3	unreviewed	Heyndrickxia shackletonii	Ureidoglycolate dehydrogenase		
A0A0R1GSJ2	unreviewed	Levilactobacillus parabrevis ATCC 53295	Ureidoglycolate dehydrogenase		
A0A0R1LQG7	unreviewed	Levilactobacillus acidifarinae DSM 19394 = JCM 15949	Ureidoglycolate dehydrogenase		
A0A0R1UJD9	unreviewed	Levilactobacillus hammesii DSM 16381	Ureidoglycolate dehydrogenase		
A0A0R2HMX8	unreviewed	Carnobacterium divergens DSM 20623	Ureidoglycolate dehydrogenase		
A0A0R2HWH0	unreviewed	Carnobacterium divergens DSM 20623	Ureidoglycolate dehydrogenase		
A0A0S3KAQ2	unreviewed	Enterococcus silesiacus	Ureidoglycolate dehydrogenase		
A0A0S3KAT6	unreviewed	Enterococcus silesiacus	Ureidoglycolate dehydrogenase		
A0A0S4QGT1	unreviewed	Parafrankia irregularis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0T5Z1W3	unreviewed	endosymbiont of Ridgeia piscesae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A0T9N1V9	unreviewed	Yersinia intermedia	Ureidoglycolate dehydrogenase (EC 1.1.1.154)	1.1.1.154	
A0A0U2LT79	unreviewed	Enterococcus rotai	Ureidoglycolate dehydrogenase		
A0A0U2VQE3	unreviewed	Enterococcus rotai	Ureidoglycolate dehydrogenase		
A0A0U3NP34	unreviewed	Lentibacillus amyloliquefaciens	Ureidoglycolate dehydrogenase		
A0A0U4E5F9	unreviewed	Lentibacillus amyloliquefaciens	Ureidoglycolate dehydrogenase		
A0A0V8J022	unreviewed	Fictibacillus enclensis	Ureidoglycolate dehydrogenase		
A0A109N2X4	unreviewed	Peribacillus simplex	Ureidoglycolate dehydrogenase		
A0A132C392	unreviewed	Tritonibacter horizontis	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	
A0A143HB65	unreviewed	Rummeliibacillus stabekisii	Ureidoglycolate dehydrogenase		
A0A143HB74	unreviewed	Rummeliibacillus stabekisii	Ureidoglycolate dehydrogenase		
A0A143Z8C9	unreviewed	Trichococcus ilyis	Ureidoglycolate dehydrogenase (NAD+)		
A0A162MXQ1	unreviewed	Thermovenabulum gondwanense	Ureidoglycolate dehydrogenase (NAD(+)) (EC 1.1.1.350)	1.1.1.350	
A0A172RY63	unreviewed	Denitrobacterium detoxificans	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A172YB61	unreviewed	Halotalea alkalilenta	Ureidoglycolate dehydrogenase		
A0A179STX5	unreviewed	Metabacillus litoralis	Ureidoglycolate dehydrogenase		
A0A193G9H2	unreviewed	Bordetella flabilis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A1B1S0A4	unreviewed	Planococcus versutus	Ureidoglycolate dehydrogenase		
A0A1B3XPM1	unreviewed	Peribacillus muralis	Ureidoglycolate dehydrogenase		
A0A1B7IVI8	unreviewed	Buttiauxella brennerae ATCC 51605	Ureidoglycolate dehydrogenase (EC 1.-.-.-, EC 1.1.1.154)	1.-.-.-; 1.1.1.154	
A0A1B7KZA0	unreviewed	Mangrovibacter phragmitis	Malate/lactate/ureidoglycolate dehydrogenase		
A0A1C3UBZ8	unreviewed	Martinezella multihospitum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C3UTL6	unreviewed	Martinezella hainanensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C3VX21	unreviewed	Martinezella multihospitum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C3W7Z2	unreviewed	Martinezella hainanensis	Ureidoglycolate dehydrogenase (NAD+)		
A0A1C3X455	unreviewed	Martinezella miluonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C4Y2L1	unreviewed	Micromonospora viridifaciens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C6UJM9	unreviewed	Micromonospora eburnea	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C6UV10	unreviewed	Micromonospora yangpuensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1C7ICB6	unreviewed	Blautia pseudococcoides	Ureidoglycolate dehydrogenase (NAD+)		
A0A1D3TY59	unreviewed	Anaerobium acetethylicum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1D3TYQ2	unreviewed	Anaerobium acetethylicum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1D7U4K5	unreviewed	Allobosea vaviloviae	Malate/lactate/ureidoglycolate dehydrogenase		
A0A1E3FEK0	unreviewed	Burkholderia contaminans	Malate/lactate/ureidoglycolate dehydrogenase		
A0A1E5GJN4	unreviewed	Enterococcus termitis	Ureidoglycolate dehydrogenase		
A0A1E5GJS0	unreviewed	Enterococcus termitis	Ureidoglycolate dehydrogenase		
A0A1E5GNM7	unreviewed	Enterococcus ureasiticus	Ureidoglycolate dehydrogenase		
A0A1E5GNP6	unreviewed	Enterococcus ureasiticus	Ureidoglycolate dehydrogenase		
A0A1E5H3W9	unreviewed	Enterococcus quebecensis	Ureidoglycolate dehydrogenase		
A0A1E5H437	unreviewed	Enterococcus quebecensis	Ureidoglycolate dehydrogenase		
A0A1E5H9M7	unreviewed	Enterococcus ureilyticus	Ureidoglycolate dehydrogenase		
A0A1E5H9N8	unreviewed	Enterococcus ureilyticus	Ureidoglycolate dehydrogenase		
A0A1E5KYP0	unreviewed	Enterococcus rivorum	Ureidoglycolate dehydrogenase		
A0A1E5KYP3	unreviewed	Enterococcus rivorum	Ureidoglycolate dehydrogenase		
A0A1E5XQM1	unreviewed	Devosia insulae DS-56	Malate/lactate/ureidoglycolate dehydrogenase		
A0A1G4QH79	unreviewed	Asticcacaulis taihuensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5AVM5	unreviewed	Serratia nematodiphila	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5DW65	unreviewed	Microvirga guangxiensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5GG98	unreviewed	Microvirga guangxiensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5HUV1	unreviewed	Paracoccus tibetensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5RQY5	unreviewed	Acidaminobacter hydrogenoformans DSM 2784	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G5ZCQ7	unreviewed	Algoriphagus alkaliphilus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6BDB2	unreviewed	Eubacterium oxidoreducens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6CAA5	unreviewed	Bauldia litoralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6DQB0	unreviewed	Bauldia litoralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6EB50	unreviewed	Bauldia litoralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6HP60	unreviewed	Geotoga petraea	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6IVU8	unreviewed	Ectopseudomonas chengduensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6JG73	unreviewed	Melghirimyces thermohalophilus	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G6KW66	unreviewed	Niabella drilacis (strain DSM 25811 / CCM 8410 / CCUG 62505 / LMG 26954 / E90)	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6MET3	unreviewed	Actinokineospora iranica	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6NYC3	unreviewed	Melghirimyces thermohalophilus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6P5B2	unreviewed	Geodermatophilus telluris	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6PTR5	unreviewed	Terribacillus halophilus	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G6QN77	unreviewed	Paraburkholderia lycopersici	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G6S2Q6	unreviewed	Auraticoccus monumenti	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7DGQ0	unreviewed	Paracoccus isoporae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7H6I9	unreviewed	Dyadobacter soli	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7HEQ6	unreviewed	Limimaricola pyoseonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7J4K9	unreviewed	Fontibacillus panacisegetis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7JV09	unreviewed	Sporolituus thermophilus DSM 23256	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7PB10	unreviewed	Sphingomonas carotinifaciens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7T1V6	unreviewed	Pedobacter terrae	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7UZU8	unreviewed	Facklamia miroungae	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G7VKL8	unreviewed	Mucilaginibacter gossypii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7WFA4	unreviewed	Propionivibrio dicarboxylicus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7WR86	unreviewed	Pelagibacterium luteolum	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G7YI48	unreviewed	Pseudonocardia oroxyli	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G8CB66	unreviewed	Agrococcus jejuensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G8D206	unreviewed	Propionivibrio dicarboxylicus	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G8EAN6	unreviewed	Alteribacillus bidgolensis	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G8GSF4	unreviewed	Propionivibrio dicarboxylicus	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G8K8R6	unreviewed	Arthrobacter subterraneus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G8L5B8	unreviewed	Dolosicoccus paucivorans	Ureidoglycolate dehydrogenase		
A0A1G8QDH6	unreviewed	Billgrantia gudaonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G8RQJ2	unreviewed	Salipiger marinus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G8VUG8	unreviewed	Mesorhizobium muleiense	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G9AJF1	unreviewed	Billgrantia gudaonensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9BEK3	unreviewed	Catalinimonas alkaloidigena	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9C715	unreviewed	Paracoccus chinensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9D8F6	unreviewed	Jeotgalicoccus aerolatus	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A1G9D8J3	unreviewed	Jeotgalicoccus aerolatus	Ureidoglycolate dehydrogenase (NAD+) (EC 1.1.1.350)	1.1.1.350	
A0A1G9DCZ4	unreviewed	Meinhardsimonia xiamenensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9E9F4	unreviewed	Franzmannia pantelleriensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9GEQ5	unreviewed	Natronincola ferrireducens	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9GP42	unreviewed	Paracoccus chinensis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9JMF3	unreviewed	Aliiruegeria lutimaris	Ureidoglycolate dehydrogenase (NAD+)		
A0A1G9KNQ4	unreviewed	Modicisalibacter muralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9N703	unreviewed	Modicisalibacter muralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9Q5J0	unreviewed	Modicisalibacter muralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9RAN0	unreviewed	Geodermatophilus siccatus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9RM82	unreviewed	Modicisalibacter muralis	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9SL95	unreviewed	Catalinimonas alkaloidigena	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9SUK0	unreviewed	Halarsenatibacter silvermanii	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9SXZ3	unreviewed	Geodermatophilus siccatus	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
A0A1G9UAK3	unreviewed	Lachnospira pectinoschiza	Malate/lactate/ureidoglycolate dehydrogenase, LDH2 family		
