Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
Q7XZQ6	reviewed	Petroselinum crispum (Parsley) (Petroselinum hortense)	Flavonol synthase/flavanone 3-hydroxylase (EC 1.14.11.9) (EC 1.14.20.6)	1.14.11.9; 1.14.20.6	RHEA:21088 RHEA:18621
Q7XZQ7	reviewed	Petroselinum crispum (Parsley) (Petroselinum hortense)	Flavanone 3-dioxygenase (EC 1.14.11.9) (Flavanone 3-beta-hydroxylase) (Flavanone 3-hydroxylase) (F3H) (Naringenin,2-oxoglutarate 3-dioxygenase) (Naringenin 3-dioxygenase)	1.14.11.9	RHEA:18621
