Entry	Rhea ID	Organism	Protein names
P0A840	RHEA:12484 RHEA:10144 RHEA:21528 RHEA:29375 RHEA:27714 RHEA:29379 RHEA:27898 RHEA:27894	Escherichia coli (strain K12)	5'/3'-nucleotidase SurE (EC 3.1.3.5) (EC 3.1.3.6) (Exopolyphosphatase) (EC 3.6.1.11) (Nucleoside monophosphate phosphohydrolase) (Stationary-phase survival protein SurE)
P0AF12	RHEA:17805 RHEA:13617 RHEA:29859	Escherichia coli (strain K12)	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (MTA/SAH nucleosidase) (MTAN) (EC 3.2.2.9) (5'-deoxyadenosine nucleosidase) (DOA nucleosidase) (dAdo nucleosidase) (5'-methylthioadenosine nucleosidase) (MTA nucleosidase) (S-adenosylhomocysteine nucleosidase) (AdoHcy nucleosidase) (SAH nucleosidase) (SRH nucleosidase)
P17445	RHEA:15305 RHEA:30067	Escherichia coli (strain K12)	Betaine aldehyde dehydrogenase (BADH) (EC 1.2.1.8)
P19643	RHEA:26414 RHEA:51168 RHEA:16153 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:59424 RHEA:25265 RHEA:70283	Rattus norvegicus (Rat)	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
P21396	RHEA:26414 RHEA:16153 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Rattus norvegicus (Rat)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
P21397	RHEA:26414 RHEA:51168 RHEA:16153 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Homo sapiens (Human)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
P21398	RHEA:26414 RHEA:16153 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Bos taurus (Bovine)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
P27338	RHEA:26414 RHEA:51168 RHEA:16153 RHEA:59424 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:25265 RHEA:70283	Homo sapiens (Human)	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
P49902	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Homo sapiens (Human)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic 5'-nucleotidase II) (cN-II) (Cytosolic IMP/GMP-specific 5'-nucleotidase) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77) (High Km 5'-nucleotidase)
P56560	RHEA:26414 RHEA:16153 RHEA:59424 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:25265 RHEA:70283	Bos taurus (Bovine)	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
P58027	RHEA:26414 RHEA:16153 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Canis lupus familiaris (Dog) (Canis familiaris)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
P58028	RHEA:26414 RHEA:51168 RHEA:16153 RHEA:59424 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:25265 RHEA:70283	Cavia porcellus (Guinea pig)	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
P76491	RHEA:36167 RHEA:29371 RHEA:29379 RHEA:11080 RHEA:29355 RHEA:29383 RHEA:29363	Escherichia coli (strain K12)	5'-deoxynucleotidase YfbR (EC 3.1.3.89) (5'-deoxyribonucleotidase) (Nucleoside 5'-monophosphate phosphohydrolase)
Q02401	RHEA:10076 RHEA:69639 RHEA:30679 RHEA:69647 RHEA:69655 RHEA:69659 RHEA:69663 RHEA:69667 RHEA:69671 RHEA:69675 RHEA:69679 RHEA:69683 RHEA:69687 RHEA:69699 RHEA:69703 RHEA:69707 RHEA:69711	Rattus norvegicus (Rat)	Lactase/phlorizin hydrolase (Lactase/glycosylceramidase) [Includes: Lactase (EC 3.2.1.108); Glycosylceramidase (EC 3.2.1.62) (Phlorizin hydrolase)]
Q3V1L4	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29379 RHEA:29383 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Mus musculus (Mouse)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q4KSH9	RHEA:29499 RHEA:30375 RHEA:30379 RHEA:81463 RHEA:32699 RHEA:28266 RHEA:32027 RHEA:28643 RHEA:68520 RHEA:27425	Arabidopsis thaliana (Mouse-ear cress)	Alpha-barbatene synthase (AtBS) (EC 4.2.3.69) ((-)-beta-bisabolene synthase) (EC 4.2.3.55) ((E)-beta-farnesene synthase) (EC 4.2.3.47) (Alpha-cuprenene synthase) (EC 4.2.3.95) (Alpha-zingiberene synthase) (EC 4.2.3.65) (Beta-chamigrene synthase) (EC 4.2.3.78) (Beta-sesquiphellandrene synthase) (EC 4.2.3.123) (Terpeneoid synthase 11) (AtTPS11) (Thujopsene synthase) (EC 4.2.3.79)
Q5EBF1	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q5NU32	RHEA:26414 RHEA:16153 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Equus caballus (Horse)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
Q5RA22	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q5RE60	RHEA:26414 RHEA:16153 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:69072 RHEA:59596 RHEA:59416 RHEA:25265	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
Q5RE98	RHEA:26414 RHEA:51168 RHEA:16153 RHEA:59424 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:25265 RHEA:70283	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Amine oxidase [flavin-containing] B (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type B) (MAO-B)
Q5ZIZ4	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29379 RHEA:29383 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Gallus gallus (Chicken)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
Q64133	RHEA:26414 RHEA:16153 RHEA:69072 RHEA:51168 RHEA:27946 RHEA:30591 RHEA:69076 RHEA:59596 RHEA:59416 RHEA:25265	Mus musculus (Mouse)	Amine oxidase [flavin-containing] A (EC 1.4.3.21) (EC 1.4.3.4) (Monoamine oxidase type A) (MAO-A)
Q6DKB0	RHEA:12484 RHEA:19961 RHEA:27718 RHEA:27714 RHEA:29383 RHEA:29379 RHEA:28530 RHEA:69584 RHEA:69580 RHEA:69572 RHEA:69588 RHEA:69592 RHEA:69596	Xenopus laevis (African clawed frog)	Cytosolic purine 5'-nucleotidase (EC 3.1.3.5) (EC 3.1.3.99) (Cytosolic nucleoside phosphotransferase 5'N) (EC 2.7.1.77)
