Entry	Rhea ID	Organism	Protein names
Q2KNB7	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-9 (EC 2.7.1.1) (Hexokinase-5)
Q2KNB9	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase-3)
Q2TB90	RHEA:22740 RHEA:17825	Homo sapiens (Human)	Hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)
Q3TRM8	RHEA:22740 RHEA:16125 RHEA:17825	Mus musculus (Mouse)	Hexokinase-3 (EC 2.7.1.1) (Hexokinase type III) (HK III) (Hexokinase-C)
Q42525	RHEA:22740 RHEA:16125 RHEA:17825	Arabidopsis thaliana (Mouse-ear cress)	Hexokinase-1 (EC 2.7.1.1) (Protein GLUCOSE INSENSITIVE 2)
Q59RW5	RHEA:17417 RHEA:11028 RHEA:17825 RHEA:10948	Candida albicans (strain SC5314 / ATCC MYA-2876) (Yeast)	N-acetylglucosamine kinase 1 (GlcNAc kinase 1) (EC 2.7.1.59) (Hexokinase 1) (EC 2.7.1.1)
Q5RC71	RHEA:22740 RHEA:16125 RHEA:17825 RHEA:11028 RHEA:10948	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	Hexokinase-1 (EC 2.7.1.1) (Hexokinase type I) (HK I)
Q5U3U3	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Danio rerio (Zebrafish) (Brachydanio rerio)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
Q5W676	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-5 (EC 2.7.1.1) (Hexokinase I)
Q60HG9	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
Q6CUZ3	RHEA:17825 RHEA:22740 RHEA:11028	Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37) (Yeast) (Candida sphaerica)	Glucokinase-1 (EC 2.7.1.2) (Glucose kinase 1) (GLK-1) (Hexokinase GLK1) (EC 2.7.1.1)
Q6P4X5	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
Q6Q8A5	RHEA:22740 RHEA:16125 RHEA:17825	Nicotiana tabacum (Common tobacco)	Hexokinase-2, chloroplastic (EC 2.7.1.1) (NtHxK2)
Q6Z398	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-4, chloroplastic (EC 2.7.1.1) (Hexokinase II)
Q704S8	RHEA:21136 RHEA:44976 RHEA:44980 RHEA:44972 RHEA:17177 RHEA:44828 RHEA:44984 RHEA:44988 RHEA:44992 RHEA:44996 RHEA:45000 RHEA:44860 RHEA:45004	Rattus norvegicus (Rat)	Carnitine O-acetyltransferase (Carnitine acetylase) (EC 2.3.1.137) (EC 2.3.1.7) (Carnitine acetyltransferase) (CAT) (CrAT)
Q7ZXE1	RHEA:12661 RHEA:17177 RHEA:44828 RHEA:40279 RHEA:44832 RHEA:44840 RHEA:44844 RHEA:44848 RHEA:44852 RHEA:44856 RHEA:44860	Xenopus laevis (African clawed frog)	Carnitine O-palmitoyltransferase 2, mitochondrial (EC 2.3.1.21) (Carnitine palmitoyltransferase II) (CPT II)
Q8LQ68	RHEA:22740 RHEA:16125 RHEA:17825	Oryza sativa subsp. japonica (Rice)	Hexokinase-6 (EC 2.7.1.1) (Hexokinase-2)
Q91W97	RHEA:22740 RHEA:17825	Mus musculus (Mouse)	Hexokinase HKDC1 (EC 2.7.1.1) (Hexokinase domain-containing protein 1)
Q92407	RHEA:17825 RHEA:22740 RHEA:11028 RHEA:10948	Aspergillus niger	Glucokinase (EC 2.7.1.2) (Glucose kinase) (GLK) (Hexokinase glkA) (EC 2.7.1.1)
Q9DC50	RHEA:17177 RHEA:44860	Mus musculus (Mouse)	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)
Q9LPS1	RHEA:22740 RHEA:16125 RHEA:17825	Arabidopsis thaliana (Mouse-ear cress)	Hexokinase-3 (EC 2.7.1.1) (Hexokinase-like 1)
Q9NFT7	RHEA:22740 RHEA:11028 RHEA:16125 RHEA:17825	Drosophila melanogaster (Fruit fly)	Hexokinase-2 (EC 2.7.1.1) (Hexokinase testis)
Q9SE93	RHEA:17501	Rauvolfia serpentina (Serpentine wood) (Ophioxylon serpentinum)	Polyneuridine aldehyde esterase (RsPNAE) (EC 3.1.1.78)
Q9T071	RHEA:22740 RHEA:16125 RHEA:17825	Arabidopsis thaliana (Mouse-ear cress)	Probable hexokinase-like 2 protein (EC 2.7.1.1)
Q9UKG9	RHEA:17177 RHEA:44860	Homo sapiens (Human)	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)
O19094	RHEA:17177 RHEA:44860	Bos taurus (Bovine)	Peroxisomal carnitine O-octanoyltransferase (COT) (EC 2.3.1.137)
P0A6V8	RHEA:17825	Escherichia coli (strain K12)	Glucokinase (EC 2.7.1.2) (Glucose kinase)
