Entry	Rhea ID	Organism	Protein names
Q6JD73	RHEA:31995 RHEA:31427 RHEA:27425 RHEA:28266 RHEA:31419 RHEA:32031 RHEA:60020	Zea mays (Maize)	7-epi-sesquithujene synthase (EC 4.2.3.101) ((E)-alpha-bergamotene synthase) (EC 4.2.3.81) (Beta-bisabolene synthase) (EC 4.2.3.55) (Beta-curcumene synthase) (EC 4.2.3.-) (Beta-farnesene synthase) (EC 4.2.3.47) (Gamma-curcumene synthase) (EC 4.2.3.94) (Sesquisabinene A synthase) (EC 4.2.3.-) (Terpene synthase 4) (tps4-B73)
Q6VMW1	RHEA:73079 RHEA:73127 RHEA:73123 RHEA:73119 RHEA:31539 RHEA:73115 RHEA:73071 RHEA:73075	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)	Flavonoid 7-O-methyltransferase 1B (MpOMT1B) (EC 2.1.1.-) (7,8,4'-trihydroxy-flavone 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Isorhamnetin 7-O-methyltransferase) (EC 2.1.1.-) (Kaempferol 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Quercetin 7-O-methyltransferase) (EC 2.1.1.-) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
Q6VMW2	RHEA:73071 RHEA:73075 RHEA:73115 RHEA:31539 RHEA:73119 RHEA:73123 RHEA:73127 RHEA:73079	Mentha piperita (Peppermint) (Mentha aquatica x Mentha spicata)	Flavonoid 7-O-methyltransferase 1A (MpOMT1A) (EC 2.1.1.-) (7,8,4'-trihydroxy-flavone 7-O-methyltransferase) (EC 2.1.1.-) (Apigenin 7-O-methyltransferase) (EC 2.1.1.-) (Isorhamnetin 7-O-methyltransferase) (EC 2.1.1.-) (Kaempferol 7-O-methyltransferase) (EC 2.1.1.-) (Luteolin 7-O-methyltransferase) (EC 2.1.1.-) (Naringenin 7-O-methyltransferase) (EC 2.1.1.232) (Quercetin 7-O-methyltransferase) (EC 2.1.1.-) (Scutellarein 7-O-methyltransferase) (EC 2.1.1.-)
Q9I6N5	RHEA:31375 RHEA:31379	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	Pyrrole-2-carboxylic acid decarboxylase (P2C decarboxylase) (EC 4.1.1.93) (Ferulic acid decarboxylase-like protein) (Homologous to UbiD protein A) (UbiD-like decarboxylase)
Q9SXS3	RHEA:31723 RHEA:35487	Glycyrrhiza echinata (Licorice)	2-hydroxyisoflavanone synthase (2HI synthase) (EC 1.14.14.87) (CYP Ge-8) (Cytochrome P450 93C2) (Isoflavonoid synthase)
Q9XWN7	RHEA:23344 RHEA:30771 RHEA:27994 RHEA:18669 RHEA:16657 RHEA:15577 RHEA:27958 RHEA:56816	Caenorhabditis elegans	Nucleoside hydrolase (EC 3.2.2.-) (EC 3.2.2.1) (EC 3.2.2.2) (EC 3.2.2.3) (EC 3.2.2.7) (EC 3.2.2.8)
U5PZT6	RHEA:15809 RHEA:24116 RHEA:28266 RHEA:25436 RHEA:27425 RHEA:32699 RHEA:31427	Hedychium coronarium (White butterfly ginger-lily)	Monoterpene synthase 8, chloroplastic (HcTPS8) (Alpha-bergamotene synthase) (EC 4.2.3.81) (Alpha-curcumene synthase) (EC 4.2.3.-) (Beta-bisabolene synthase) (EC 4.2.3.55) (Beta-farnesene synthase) (EC 4.2.3.47) (Beta-sesquiphellandrene synthase) (EC 4.2.3.123) (Cis-alpha-bisabolene synthase) (EC 4.2.3.38) (Linalool synthase) (EC 4.2.3.25, EC 4.2.3.26)
B1B1U4	RHEA:29495 RHEA:30947 RHEA:30951	Zingiber zerumbet (Shampoo ginger) (Amomum zerumbet)	Beta-eudesmol synthase (EC 4.2.3.68) (10-epi-gamma-eudesmol synthase) (EC 4.2.3.84) (Alpha-eudesmol synthase) (EC 4.2.3.85)
D0VMR6	RHEA:31831 RHEA:31807	Aquilaria crassna (Eagle wood)	Delta-guaiene synthase 1 (EC 4.2.3.87) (EC 4.2.3.93)
D0VMR7	RHEA:31831 RHEA:31807	Aquilaria crassna (Eagle wood)	Delta-guaiene synthase 2 (EC 4.2.3.87) (EC 4.2.3.93)
D0VMR8	RHEA:31831 RHEA:31807	Aquilaria crassna (Eagle wood)	Delta-guaiene synthase 3 (EC 4.2.3.87) (EC 4.2.3.93)
E9JFX9	RHEA:31355	Hyphomicrobium sulfonivorans	Dimethyl-sulfide monooxygenase (EC 1.14.13.131) (Dimethylsulfide monooxygenase large subunit)
O81884	RHEA:31559	Arabidopsis thaliana (Mouse-ear cress)	L-galactose dehydrogenase (At-GalDH) (L-GalDH) (EC 1.1.1.316)
P0CT50	RHEA:30703	Cutaneotrichosporon moniliiforme (Yeast) (Trichosporon moniliiforme)	Salicylate decarboxylase (EC 4.1.1.91) (Salicylic acid decarboxylase)
Q9SWR5	RHEA:31723 RHEA:35487	Glycine max (Soybean) (Glycine hispida)	2-hydroxyisoflavanone synthase (EC 1.14.14.87) (Cytochrome P450 93C1v2) (Isoflavone synthase 2)
A0A7G5KLV2	RHEA:31427	Cananga odorata (Ylang-ylang tree) (Uvaria odorata)	Sesquiterpene synthase TPS3 (Alpha-bergamotene synthase TPS3) (EC 4.3.2.-) (Terpene synthase 3) (CoTPS3)
A1KQY3	RHEA:31519	Fusarium fujikuroi (Bakanae and foot rot disease fungus) (Gibberella fujikuroi)	Torulene dioxygenase (EC 1.13.11.59) (Carotenoid biosynthesis cluster protein T)
A7UXI1	RHEA:31519	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Carotenoid dioxygenase (EC 1.13.11.59)
E3W202	RHEA:31427 RHEA:31435 RHEA:31431	Santalum album (Indian sandalwood)	Santalene synthase (SaSSy) (Alpha-santalene synthase) (EC 4.2.3.82) (Beta-santalene synthase) (EC 4.2.3.83) (Exo-alpha-bergamotene synthase) (EC 4.2.3.81)
E3W203	RHEA:31427 RHEA:31435 RHEA:31431	Santalum austrocaledonicum (Sandalwood)	Santalene synthase (SauSSy) (Alpha-santalene synthase) (EC 4.2.3.82) (Beta-santalene synthase) (EC 4.2.3.83) (Exo-alpha-bergamotene synthase) (EC 4.2.3.81)
E3W204	RHEA:31427 RHEA:31435 RHEA:31431	Santalum spicatum (Australian sandalwood)	Santalene synthase (SspiSSy) (Alpha-santalene synthase) (EC 4.2.3.82) (Beta-santalene synthase) (EC 4.2.3.83) (Exo-alpha-bergamotene synthase) (EC 4.2.3.81)
G4XV71	RHEA:31723 RHEA:35487	Glycyrrhiza uralensis (Chinese licorice) (Glycyrrhiza shiheziensis)	2-hydroxyisoflavanone synthase (2HI synthase) (EC 1.14.14.87) (Cytochrome P450 93C2) (Isoflavonoid synthase)
J7LQ09	RHEA:31427	Phyla dulcis (Aztec sweet herb) (Lippia dulcis)	Trans-alpha-bergamotene synthase (EC 4.2.3.81) (Terpene synthase 7) (LdTPS7)
O06834	RHEA:31727	Pseudomonas fluorescens	Styrene monooxygenase StyA (EC 1.14.14.11) (Styrene monooxygenase large component)
O50214	RHEA:31727	Pseudomonas sp	Styrene monooxygenase StyA (EC 1.14.14.11) (Styrene monooxygenase large component)
Q0IP69	RHEA:31539	Oryza sativa subsp. japonica (Rice)	Naringenin 7-O-methyltransferase (NOMT) (OsNOMT) (EC 2.1.1.232)
Q2XSC4	RHEA:31427	Lavandula angustifolia (Lavender)	Exo-alpha-bergamotene synthase (LaBERS) (EC 4.2.3.81) (Trans-alpha-bergamotene synthase)
Q9XHC6	RHEA:30991 RHEA:30995	Glycine max (Soybean) (Glycine hispida)	Beta-amyrin 24-hydroxylase (EC 1.14.14.134) (Cytochrome P450 93E1) (Sophoradiol 24-hydroxylase)
S0E9A6	RHEA:31519	Gibberella fujikuroi (strain CBS 195.34 / IMI 58289 / NRRL A-6831) (Bakanae and foot rot disease fungus) (Fusarium fujikuroi)	Torulene dioxygenase (EC 1.13.11.59) (Carotenoid biosynthesis cluster protein T)
