Entry	Rhea ID	Organism	Protein names
Q66Q78	RHEA:87019 RHEA:10316	Rhodotorula glutinis (Yeast)	Thymine-7-hydroxylase (T7H) (THase) (EC 1.14.11.6) (2-oxoglutarate-Fe(II) type oxidoreductase) (Thymine dioxygenase)
Q7RYZ9	RHEA:87019 RHEA:10316	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Thymine-7-hydroxylase (T7H) (THase) (EC 1.14.11.6) (2-oxoglutarate-Fe(II) type oxidoreductase) (Thymine dioxygenase)
P0DXY3	RHEA:86867	Bacillus safensis	Cyanide dihydratase (EC 3.5.5.-) (Cyanide hydratase/formidase) (Cyanide-degrading enzyme CynD)
