Entry	Rhea ID	Organism	Protein names
P42449	RHEA:13245	Corynebacterium glutamicum (strain ATCC 13032 / DSM 20300 / JCM 1318 / BCRC 11384 / CCUG 27702 / LMG 3730 / NBRC 12168 / NCIMB 10025 / NRRL B-2784 / 534)	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
P50137	RHEA:10508	Rattus norvegicus (Rat)	Transketolase (TK) (EC 2.2.1.1)
P51854	RHEA:10508	Homo sapiens (Human)	Transketolase-like protein 1 (EC 2.2.1.1) (Transketolase 2) (TK 2) (Transketolase-related protein)
P56653	RHEA:11948	Pseudomonas sp. (strain CBS-3)	4-hydroxybenzoyl-CoA thioesterase (EC 3.1.2.23)
P57113	RHEA:14817 RHEA:16437	Rattus norvegicus (Rat)	Maleylacetoacetate isomerase (MAAI) (EC 5.2.1.2) (GSTZ1-1) (Glutathione S-transferase zeta 1) (EC 2.5.1.18)
P58137	RHEA:14541 RHEA:31511 RHEA:20289 RHEA:40219 RHEA:15673 RHEA:40103 RHEA:40111 RHEA:11516 RHEA:40575 RHEA:40115 RHEA:40583 RHEA:30143 RHEA:40587 RHEA:40059 RHEA:40591 RHEA:30135 RHEA:40595 RHEA:40119 RHEA:40135 RHEA:16645 RHEA:40131 RHEA:30139 RHEA:40139 RHEA:40143 RHEA:40147 RHEA:40151 RHEA:40223 RHEA:59952 RHEA:16305 RHEA:59936 RHEA:59940 RHEA:59948	Mus musculus (Mouse)	Acyl-coenzyme A thioesterase 8 (Acyl-CoA thioesterase 8) (EC 3.1.2.1) (EC 3.1.2.11) (EC 3.1.2.2) (EC 3.1.2.3) (EC 3.1.2.5) (Choloyl-coenzyme A thioesterase) (EC 3.1.2.27) (Peroxisomal acyl-CoA thioesterase 2) (PTE-2) (Peroxisomal acyl-coenzyme A thioester hydrolase 1) (PTE-1) (Peroxisomal long-chain acyl-CoA thioesterase 1)
P76149	RHEA:13217 RHEA:13213	Escherichia coli (strain K12)	Succinate semialdehyde dehydrogenase [NAD(P)+] Sad (SSADH) (SSDH) (EC 1.2.1.16)
P76458	RHEA:13381 RHEA:27806 RHEA:30071 RHEA:12961	Escherichia coli (strain K12)	Acetate CoA-transferase subunit alpha (EC 2.8.3.8) (Acetoacetyl-CoA transferase subunit alpha) (AA-CoA transferase subunit alpha) (Acetyl-CoA:acetoacetyl-CoA transferase subunit alpha)
P76459	RHEA:13381 RHEA:27806 RHEA:30071 RHEA:12961	Escherichia coli (strain K12)	Acetate CoA-transferase subunit beta (EC 2.8.3.8) (Acetoacetyl-CoA transferase subunit beta) (AA-CoA transferase subunit beta) (Acetyl-CoA:acetoacetate CoA-transferase subunit beta)
P9WG25	RHEA:10508	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Transketolase (TK) (EC 2.2.1.1)
P9WKK6	RHEA:13245 RHEA:16809	Mycobacterium tuberculosis (strain CDC 1551 / Oshkosh)	Isocitrate lyase 1 (ICL1) (EC 4.1.3.1) (Isocitrase) (Isocitratase) (Methylisocitrate lyase) (MICA) (EC 4.1.3.30)
P9WKK7	RHEA:13245	Mycobacterium tuberculosis (strain ATCC 25618 / H37Rv)	Isocitrate lyase (ICL) (EC 4.1.3.1) (Isocitrase) (Isocitratase)
Q03336	RHEA:10440	Rattus norvegicus (Rat)	Regucalcin (RC) (Gluconolactonase) (GNL) (EC 3.1.1.17) (Senescence marker protein 30) (SMP-30)
Q04416	RHEA:11948	Arthrobacter sp	4-hydroxybenzoyl-CoA thioesterase (4-HBA-CoA thioesterase) (EC 3.1.2.23)
Q0QLF1	RHEA:12236	Eubacterium barkeri (Clostridium barkeri)	Nicotinate dehydrogenase medium molybdopterin subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase medium molybdopterin subunit) (NAH)
Q0QLF2	RHEA:12236	Eubacterium barkeri (Clostridium barkeri)	Nicotinate dehydrogenase large molybdopterin subunit (NDH) (EC 1.17.1.5) (Nicotinic acid hydroxylase large molybdopterin subunit) (NAH)
Q10663	RHEA:13245 RHEA:18181	Caenorhabditis elegans	Bifunctional glyoxylate cycle protein (Gex-3-interacting protein 7) [Includes: Isocitrate lyase (ICL) (Isocitrase) (Isocitratase) (EC 4.1.3.1); Malate synthase (EC 2.3.3.9)]
