Entry	Reviewed	Organism	Protein names	EC number	Rhea ID
Q0JFI2	reviewed	Oryza sativa subsp. japonica (Rice)	Cytochrome P450 93G1 (EC 1.14.19.76) (Flavone synthase II) (OsFNSII)	1.14.19.76	RHEA:57680
E9KBR8	reviewed	Glycine max (Soybean) (Glycine hispida)	Cytochrome P450 93B16 (EC 1.14.19.76) (Flavone synthase II) (GmFNSII)	1.14.19.76	RHEA:57680
Q9XGT9	reviewed	Gerbera hybrida (Daisy)	Cytochrome P450 93B2 (EC 1.14.19.76) (Flavone synthase II) (FNSII)	1.14.19.76	RHEA:57680
